Date,Open,High,Low,Close*,Adj Close**,
9/13/21,"4,474.81","4,492.99","4,445.70","4,468.73","4,468.73",
9/10/21,"4,506.92","4,520.47","4,457.66","4,458.58","4,458.58",
9/9/21,"4,513.02","4,529.90","4,492.07","4,493.28","4,493.28",
9/8/21,"4,518.09","4,521.79","4,493.95","4,514.07","4,514.07",
9/7/21,"4,535.38","4,535.38","4,513.00","4,520.03","4,520.03",
9/3/21,"4,532.42","4,541.45","4,521.30","4,535.43","4,535.43",
9/2/21,"4,534.48","4,545.85","4,524.66","4,536.95","4,536.95",
9/1/21,"4,528.80","4,537.11","4,522.02","4,524.09","4,524.09",
8/31/21,"4,529.75","4,531.39","4,515.80","4,522.68","4,522.68",
8/30/21,"4,513.76","4,537.36","4,513.76","4,528.79","4,528.79",
8/27/21,"4,474.10","4,513.33","4,474.10","4,509.37","4,509.37",
8/26/21,"4,493.75","4,495.90","4,468.99","4,470.00","4,470.00",
8/25/21,"4,490.45","4,501.71","4,485.66","4,496.19","4,496.19",
8/24/21,"4,484.40","4,492.81","4,482.28","4,486.23","4,486.23",
8/23/21,"4,450.29","4,489.88","4,450.29","4,479.53","4,479.53",
8/20/21,"4,410.56","4,444.35","4,406.80","4,441.67","4,441.67",
8/19/21,"4,382.44","4,418.61","4,367.73","4,405.80","4,405.80",
8/18/21,"4,440.94","4,454.32","4,397.59","4,400.27","4,400.27",
8/17/21,"4,462.12","4,462.12","4,417.83","4,448.08","4,448.08",
8/16/21,"4,461.65","4,480.26","4,437.66","4,479.71","4,479.71",
8/13/21,"4,464.84","4,468.37","4,460.82","4,468.00","4,468.00",
8/12/21,"4,446.08","4,461.77","4,435.96","4,460.83","4,460.83",
8/11/21,"4,442.18","4,449.44","4,436.42","4,442.41","4,442.41",
8/10/21,"4,435.79","4,445.21","4,430.03","4,436.75","4,436.75",
8/9/21,"4,437.77","4,439.39","4,424.74","4,432.35","4,432.35",
8/6/21,"4,429.07","4,440.82","4,429.07","4,436.52","4,436.52",
8/5/21,"4,408.86","4,429.76","4,408.86","4,429.10","4,429.10",
8/4/21,"4,415.95","4,416.17","4,400.23","4,402.66","4,402.66",
8/3/21,"4,392.74","4,423.79","4,373.00","4,423.15","4,423.15",
8/2/21,"4,406.86","4,422.18","4,384.81","4,387.16","4,387.16",
7/30/21,"4,395.12","4,412.25","4,389.65","4,395.26","4,395.26",
7/29/21,"4,403.59","4,429.97","4,403.59","4,419.15","4,419.15",
7/28/21,"4,402.95","4,415.47","4,387.01","4,400.64","4,400.64",
7/27/21,"4,416.38","4,416.38","4,372.51","4,401.46","4,401.46",
7/26/21,"4,409.58","4,422.73","4,405.45","4,422.30","4,422.30",
7/23/21,"4,381.20","4,415.18","4,381.20","4,411.79","4,411.79",
7/22/21,"4,361.27","4,369.87","4,350.06","4,367.48","4,367.48",
7/21/21,"4,331.13","4,359.70","4,331.13","4,358.69","4,358.69",
7/20/21,"4,265.11","4,336.84","4,262.05","4,323.06","4,323.06",
7/19/21,"4,296.40","4,296.40","4,233.13","4,258.49","4,258.49",
7/16/21,"4,367.43","4,375.09","4,322.53","4,327.16","4,327.16",
